title,studio
Ishuzoku Reviewers,Passione
High School DxD Hero,Passione
Arakawa Under the Bridge,Shaft
Keijo!!!!!!!!,Xebec
Bakuman. 2nd Season,J.C.Staff
Jigoku Shoujo,Studio Deen
Kekkai Sensen &amp; Beyond,Bones
Sayonara Zetsubou Sensei,Shaft
Suisei no Gargantia,Production I.G
Gantz,Gonzo
Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,Shaft
Non Non Biyori,Silver Link.
Toaru Kagaku no Railgun S,J.C.Staff
Amagami SS,AIC
Haiyore! Nyaruko-san,Xebec
Kuroshitsuji: Book of Circus,A-1 Pictures
"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e",Silver Link.
Fullmetal Alchemist: The Conqueror of Shamballa,Bones
Gokukoku no Brynhildr,Arms
Tamako Market,Kyoto Animation
Yu☆Gi☆Oh! Duel Monsters,Gallop
Mirai Nikki: Redial,Asread
Sakamichi no Apollon,Tezuka Productions
Sakamichi no Apollon,MAPPA
To LOVE-Ru Darkness,Xebec
Seireitsukai no Blade Dance,TNK
Yuru Yuri,Doga Kobo
Outbreak Company,feel.
Mousou Dairinin,Madhouse
School Rumble,Studio Comet
Shingeki no Kyojin OVA,Wit Studio
Yuru Camp△,C-Station
Corpse Party: Tortured Souls - Bougyakusareta Tamashii no Jukyou,Asread
Shakugan no Shana II (Second),J.C.Staff
Kaze no Tani no Nausicaä,Studio Hibari
Kaze no Tani no Nausicaä,Topcraft
Kami nomi zo Shiru Sekai: Megami-hen,Manglobe
Seto no Hanayome,Gonzo
Wolf&#039;s Rain,Bones
Darwin&#039;s Game,Nexus
Freezing,A.C.G.T.
Phantom: Requiem for the Phantom,Bee Train
Danna ga Nani wo Itteiru ka Wakaranai Ken,Seven
Quanzhi Gaoshou,B.CMAY PICTURES
Cowboy Bebop: Tengoku no Tobira,Bones
Watashi ga Motete Dousunda,Brain&#039;s Base
Ben-To,David Production
Bishoujo Senshi Sailor Moon,Toei Animation
Jormungand,White Fox
Koi to Uso,LIDENFILMS
Aldnoah.Zero 2nd Season,A-1 Pictures
Aldnoah.Zero 2nd Season,TROYCA
Bakuman. 3rd Season,J.C.Staff
Saijaku Muhai no Bahamut,Lerche
Isekai Quartet,Studio PuYUKAI
Shinmai Maou no Testament Burst,Production IMS
Tales of Zestiria the Cross,ufotable
Azumanga Daioh,J.C.Staff
Shuumatsu Nani Shitemasu ka? Isogashii Desu ka? Sukutte Moratte Ii Desu ka?,Satelight
Shuumatsu Nani Shitemasu ka? Isogashii Desu ka? Sukutte Moratte Ii Desu ka?,C2C
Sword Art Online: Alicization - War of Underworld 2nd Season,A-1 Pictures
Air,Kyoto Animation
Seikon no Qwaser,Hoods Entertainment
Machine-Doll wa Kizutsukanai,Lerche
ChäoS;HEAd,Madhouse
Hundred,Production IMS
Little Witch Academia,Trigger
Nodame Cantabile,J.C.Staff
Space☆Dandy,Bones
Afro Samurai,Gonzo
Hanasaku Iroha,P.A. Works
Shelter,A-1 Pictures
Devil May Cry,Madhouse
Madan no Ou to Vanadis,Satelight
Evangelion: 3.0 You Can (Not) Redo,Khara
Kotoura-san,AIC Classic
Asobi Asobase,Lerche
Owarimonogatari 2nd Season,Shaft
Full Metal Panic? Fumoffu,Kyoto Animation
Stranger: Mukou Hadan,Bones
Kono Subarashii Sekai ni Shukufuku wo!: Kono Subarashii Choker ni Shukufuku wo!,Studio Deen
Bungou Stray Dogs 3rd Season,Bones
Dragon Ball Kai,Toei Animation
"Clannad: Mou Hitotsu no Sekai, Tomoyo-hen",Kyoto Animation
Renai Boukun,EMT Squared
Motto To LOVE-Ru,Xebec
Dimension W,Orange
Dimension W,Studio 3Hz
Code:Breaker,Kinema Citrus
Enen no Shouboutai: Ni no Shou,David Production
Ping Pong the Animation,Tatsunoko Production
Beck,Madhouse
C: The Money of Soul and Possibility Control,Tatsunoko Production
Redline,Madhouse
Isshuukan Friends.,Brain&#039;s Base
Kiss x Sis,feel.
Denpa Onna to Seishun Otoko,Shaft
Jujutsu Kaisen (TV),MAPPA
K: Return of Kings,GoHands
Acchi Kocchi (TV),AIC
Mawaru Penguindrum,Brain&#039;s Base
Busou Shoujo Machiavellianism,Silver Link.
Busou Shoujo Machiavellianism,Connect
xxxHOLiC,Production I.G
Sora no Otoshimono: Forte,AIC A.S.T.A.
Hamatora The Animation,NAZ
Ore wo Suki nano wa Omae dake ka yo,Connect
Noragami OVA,Bones
3-gatsu no Lion 2nd Season,Shaft
Densetsu no Yuusha no Densetsu,Zexcs
Berserk,Millepensee
Berserk,GEMBA
Nejimaki Seirei Senki: Tenkyou no Alderamin,Madhouse
Oda Nobuna no Yabou,Madhouse
Oda Nobuna no Yabou,Studio Gokumi
Shuffle!,Asread
Detective Conan,TMS Entertainment
Blood-C,Production I.G
Highschool of the Dead: Drifters of the Dead,Madhouse
Golden Boy,APPP
Danganronpa 3: The End of Kibougamine Gakuen - Mirai-hen,Lerche
Itai no wa Iya nano de Bougyoryoku ni Kyokufuri Shitai to Omoimasu.,Silver Link.
Itai no wa Iya nano de Bougyoryoku ni Kyokufuri Shitai to Omoimasu.,Kadokawa
Shijou Saikyou no Deshi Kenichi,TMS Entertainment
Sword Art Online: Extra Edition,A-1 Pictures
Gyakkyou Burai Kaiji: Ultimate Survivor,Madhouse
Kyokou Suiri,Brain&#039;s Base
Bokutachi wa Benkyou ga Dekinai,Silver
Bokutachi wa Benkyou ga Dekinai,Arvo Animation
Ookami-san to Shichinin no Nakama-tachi,J.C.Staff
Kämpfer,Nomad
Gleipnir,Pine Jam
World Trigger,Toei Animation
Akagami no Shirayuki-hime 2nd Season,Bones
Yuusha ni Narenakatta Ore wa Shibushibu Shuushoku wo Ketsui Shimashita.,Asread
Kanon (2006),Kyoto Animation
Little Busters!,J.C.Staff
Fate/stay night: Unlimited Blade Works Prologue,ufotable
Amnesia,Brain&#039;s Base
Taimadou Gakuen 35 Shiken Shoutai,Silver Link.
Kamisama Hajimemashita◎,TMS Entertainment
Oniichan dakedo Ai sae Areba Kankeinai yo ne!,Silver Link.
Black Cat (TV),Gonzo
Witch Craft Works,J.C.Staff
Diabolik Lovers,Zexcs
Seiken Tsukai no World Break,Diomedea
Tokyo Magnitude 8.0,Bones
Tokyo Magnitude 8.0,Kinema Citrus
Tamako Love Story,Kyoto Animation
Full Metal Panic! The Second Raid,Kyoto Animation
One Punch Man: Road to Hero,Madhouse
K-On! Movie,Kyoto Animation
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,Studio Deen
Maji de Watashi ni Koi Shinasai!,Lerche
Gin no Saji,A-1 Pictures
Angel Beats! Specials,P.A. Works
Itazura na Kiss,TMS Entertainment
Love Hina,Xebec
Jibaku Shounen Hanako-kun,Lerche
Kokoro ga Sakebitagatterunda.,A-1 Pictures
ReLIFE: Kanketsu-hen,TMS Entertainment
Soredemo Sekai wa Utsukushii,Studio Pierrot
Nyan Koi!,AIC
Amaama to Inazuma,TMS Entertainment
ef: A Tale of Memories.,Shaft
Akuma no Riddle,Diomedea
Hetalia Axis Powers,Studio Deen
Saenai Heroine no Sodatekata ♭,A-1 Pictures
Bleach Movie 1: Memories of Nobody,Studio Pierrot
Sayonara no Asa ni Yakusoku no Hana wo Kazarou,P.A. Works
Mushishi Zoku Shou,Artland
Nurarihyon no Mago,Studio Deen
Nanbaka,Satelight
Girls &amp; Panzer,Actas
Darker than Black: Kuro no Keiyakusha Gaiden,Bones
Juuni Taisen,Graphinica
Shoujo Shuumatsu Ryokou,White Fox
Ajin 2nd Season,Polygon Pictures
Kono Subarashii Sekai ni Shukufuku wo! 2: Kono Subarashii Geijutsu ni Shukufuku wo!,Studio Deen
Persona 4 the Animation,AIC A.S.T.A.
"Clannad: After Story - Mou Hitotsu no Sekai, Kyou-hen",Kyoto Animation
