title,series_type,episodes,status,premiered,source,duration,rating,score,votes
Higurashi no Naku Koro ni,TV,26,Finished Airing,Spring 2006,Visual novel,24,R - 17+ (violence & profanity),7.97,287374
Boku wa Tomodachi ga Sukunai,TV,12,Finished Airing,Fall 2011,Light novel,24,R+ - Mild Nudity,7.3,339254
Kimi ni Todoke,TV,25,Finished Airing,Fall 2009,Manga,22,PG-13 - Teens 13 or older,8.03,294729
Nichijou,TV,26,Finished Airing,Spring 2011,Manga,23,PG-13 - Teens 13 or older,8.48,231594
Tokyo Ghoul:re,TV,12,Finished Airing,Spring 2018,Manga,24,R - 17+ (violence & profanity),6.61,315374
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,TV,24,Finished Airing,Spring 2014,Manga,24,R - 17+ (violence & profanity),8.14,402104
Toaru Majutsu no Index,TV,24,Finished Airing,Fall 2008,Light novel,23,R - 17+ (violence & profanity),7.46,280949
Magi: The Kingdom of Magic,TV,25,Finished Airing,Fall 2013,Manga,25,PG-13 - Teens 13 or older,8.3,314992
Shinsekai yori,TV,25,Finished Airing,Fall 2012,Novel,22,R - 17+ (violence & profanity),8.37,212466
Toki wo Kakeru Shoujo,Movie,1,Finished Airing,,Novel,98,PG - Children,8.22,344938
Kokoro Connect,TV,13,Finished Airing,Summer 2012,Light novel,24,PG-13 - Teens 13 or older,7.83,296831
Overlord II,TV,13,Finished Airing,Winter 2018,Light novel,23,R - 17+ (violence & profanity),7.81,343564
Dororo,TV,24,Finished Airing,Winter 2019,Manga,24,R - 17+ (violence & profanity),8.18,271362
Plastic Memories,TV,13,Finished Airing,Spring 2015,Original,24,PG-13 - Teens 13 or older,7.95,285681
Shokugeki no Souma: San no Sara,TV,12,Finished Airing,Fall 2017,Manga,24,PG-13 - Teens 13 or older,8.2,336192
Rakudai Kishi no Cavalry,TV,12,Finished Airing,Fall 2015,Light novel,23,R - 17+ (violence & profanity),7.56,334515
Kekkai Sensen,TV,12,Finished Airing,Spring 2015,Manga,26,R - 17+ (violence & profanity),7.66,259081
Mushishi,TV,26,Finished Airing,Fall 2005,Manga,25,PG-13 - Teens 13 or older,8.7,193771
Mahoutsukai no Yome,TV,24,Finished Airing,Fall 2017,Manga,24,PG-13 - Teens 13 or older,8.11,219514
Accel World,TV,24,Finished Airing,Spring 2012,Light novel,24,PG-13 - Teens 13 or older,7.35,303976
Enen no Shouboutai,TV,24,Finished Airing,Summer 2019,Manga,23,PG-13 - Teens 13 or older,7.72,256353
Ookami Kodomo no Ame to Yuki,Movie,1,Finished Airing,,Original,117,PG - Children,8.66,323910
FLCL,OVA,6,Finished Airing,,Original,25,PG-13 - Teens 13 or older,8.03,308989
"Gate: Jieitai Kanochi nite, Kaku Tatakaeri",TV,12,Finished Airing,Summer 2015,Light novel,23,R - 17+ (violence & profanity),7.77,313912
Sword Art Online: Alicization,TV,24,Finished Airing,Fall 2018,Light novel,24,R - 17+ (violence & profanity),7.59,289172
K,TV,13,Finished Airing,Fall 2012,Original,24,PG-13 - Teens 13 or older,7.53,282354
Trinity Seven,TV,12,Finished Airing,Fall 2014,Manga,24,PG-13 - Teens 13 or older,7.21,302288
Koutetsujou no Kabaneri,TV,12,Finished Airing,Spring 2016,Original,22,R - 17+ (violence & profanity),7.26,296356
Danshi Koukousei no Nichijou,TV,12,Finished Airing,Winter 2012,Web manga,24,PG-13 - Teens 13 or older,8.29,278660
Monster,TV,74,Finished Airing,Spring 2004,Manga,24,R+ - Mild Nudity,8.73,180929
No Game No Life: Zero,Movie,1,Finished Airing,,Light novel,106,PG-13 - Teens 13 or older,8.37,276084
Fate/stay night: Unlimited Blade Works 2nd Season,TV,13,Finished Airing,Spring 2015,Visual novel,23,R - 17+ (violence & profanity),8.34,354457
Youjo Senki,TV,12,Finished Airing,Winter 2017,Light novel,24,R - 17+ (violence & profanity),8.02,290688
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,TV,24,Finished Airing,Winter 2015,Manga,23,R - 17+ (violence & profanity),8.48,369756
D.Gray-man,TV,103,Finished Airing,Fall 2006,Manga,23,PG-13 - Teens 13 or older,8.06,209592
Vinland Saga,TV,24,Finished Airing,Summer 2019,Manga,24,R - 17+ (violence & profanity),8.72,257381
Great Teacher Onizuka,TV,43,Finished Airing,Summer 1999,Manga,25,R - 17+ (violence & profanity),8.7,264310
