title,licensor
91 Days,Funimation
91 Days,Crunchyroll
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II,Sentai Filmworks
Grisaia no Kajitsu,Sentai Filmworks
Steins;Gate Movie: Fuka Ryouiki no Déjà vu,Funimation
Kuzu no Honkai,Sentai Filmworks
Shokugeki no Souma: San no Sara - Tootsuki Ressha-hen,Sentai Filmworks
Bungou Stray Dogs 2nd Season,Funimation
Bungou Stray Dogs 2nd Season,Crunchyroll
Ajin,Sentai Filmworks
Katanagatari,"NIS America, Inc."
Aldnoah.Zero,Aniplex of America
Akagami no Shirayuki-hime,Funimation
Gamers!,Funimation
Date A Live II,Funimation
Gosick,Funimation
3-gatsu no Lion,Aniplex of America
Saenai Heroine no Sodatekata,Aniplex of America
Suzumiya Haruhi no Yuuutsu (2009),Funimation
Suzumiya Haruhi no Yuuutsu (2009),Bandai Entertainment
Lovely★Complex,Discotek Media
Kenpuu Denki Berserk,Media Blasters
Kenpuu Denki Berserk,NYAV Post
Summer Wars,Funimation
Summer Wars,Warner Bros. Japan
Summer Wars,GKIDS
Kuroshitsuji II,Funimation
Blend S,Aniplex of America
Gangsta.,Funimation
Boku wa Tomodachi ga Sukunai Next,Funimation
God Eater,Aniplex of America
Absolute Duo,Funimation
Zero no Tsukaima: Futatsuki no Kishi,Sentai Filmworks
Full Metal Panic!,ADV Films
Full Metal Panic!,Funimation
Kamisama Hajimemashita,Funimation
Hotaru no Haka,ADV Films
Hotaru no Haka,Central Park Media
Hotaru no Haka,Sentai Filmworks
Fruits Basket,Funimation
Nekomonogatari: Kuro,Aniplex of America
Natsume Yuujinchou,"NIS America, Inc."
"Gate: Jieitai Kanochi nite, Kaku Tatakaeri 2nd Season",Sentai Filmworks
Tokyo Ghoul:re 2nd Season,Funimation
Chobits,Funimation
Chobits,Geneon Entertainment USA
Inu x Boku SS,Sentai Filmworks
Drifters,Funimation
Ichiban Ushiro no Daimaou,Sentai Filmworks
Sora no Otoshimono,Funimation
Isekai Maou to Shoukan Shoujo no Dorei Majutsu,Funimation
Sword Art Online Alternative: Gun Gale Online,Aniplex of America
Ookami to Koushinryou II,Funimation
Hunter x Hunter,Viz Media
Seitokai Yakuindomo,Sentai Filmworks
Usagi Drop,"NIS America, Inc."
Tenki no Ko,GKIDS
Hataraku Saibou (TV),Aniplex of America
Mayo Chiki!,Sentai Filmworks
Nana,Viz Media
