title,genre
Nanatsu no Taizai: Imashime no Fukkatsu,Action
Nanatsu no Taizai: Imashime no Fukkatsu,Adventure
Nanatsu no Taizai: Imashime no Fukkatsu,Fantasy
Nanatsu no Taizai: Imashime no Fukkatsu,Magic
Nanatsu no Taizai: Imashime no Fukkatsu,Shounen
Nanatsu no Taizai: Imashime no Fukkatsu,Supernatural
ReLIFE,Slice of Life
ReLIFE,Romance
ReLIFE,School
Black Lagoon,Action
Black Lagoon,Seinen
Byousoku 5 Centimeter,Drama
Byousoku 5 Centimeter,Romance
Byousoku 5 Centimeter,Slice of Life
Btooom!,Action
Btooom!,Sci-Fi
Btooom!,Psychological
Btooom!,Seinen
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,Slice of Life
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,Comedy
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,Drama
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,Romance
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,School
Prison School,Comedy
Prison School,Ecchi
Prison School,Romance
Prison School,School
Prison School,Seinen
Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation,Mystery
Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation,Horror
Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation,Psychological
Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation,School
Hellsing Ultimate,Action
Hellsing Ultimate,Military
Hellsing Ultimate,Horror
Hellsing Ultimate,Supernatural
Hellsing Ultimate,Vampire
Hellsing Ultimate,Seinen
Tensei shitara Slime Datta Ken,Fantasy
Tensei shitara Slime Datta Ken,Shounen
Gekkan Shoujo Nozaki-kun,Comedy
Gekkan Shoujo Nozaki-kun,Romance
Gekkan Shoujo Nozaki-kun,School
Zero no Tsukaima,Action
Zero no Tsukaima,Adventure
Zero no Tsukaima,Harem
Zero no Tsukaima,Comedy
Zero no Tsukaima,Magic
Zero no Tsukaima,Romance
Zero no Tsukaima,Ecchi
Zero no Tsukaima,Fantasy
Zero no Tsukaima,School
Goblin Slayer,Action
Goblin Slayer,Adventure
Goblin Slayer,Fantasy
Golden Time,Comedy
Golden Time,Drama
Golden Time,Romance
High School DxD New,Action
High School DxD New,Harem
High School DxD New,Comedy
High School DxD New,Demons
High School DxD New,Romance
High School DxD New,Ecchi
High School DxD New,School
Ookami to Koushinryou,Adventure
Ookami to Koushinryou,Fantasy
Ookami to Koushinryou,Historical
Ookami to Koushinryou,Romance
Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,Comedy
Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,Sports
Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,Drama
Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,School
Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,Shounen
Higurashi no Naku Koro ni,Mystery
Higurashi no Naku Koro ni,Dementia
Higurashi no Naku Koro ni,Horror
Higurashi no Naku Koro ni,Psychological
Higurashi no Naku Koro ni,Supernatural
Higurashi no Naku Koro ni,Thriller
Boku wa Tomodachi ga Sukunai,Ecchi
Boku wa Tomodachi ga Sukunai,Slice of Life
Boku wa Tomodachi ga Sukunai,Comedy
Boku wa Tomodachi ga Sukunai,Harem
Boku wa Tomodachi ga Sukunai,Romance
Boku wa Tomodachi ga Sukunai,School
