title,producer
Tonari no Totoro,Studio Fantasia
Fairy Tail (2014),TV Tokyo
Fairy Tail (2014),Dentsu
Nanatsu no Taizai: Imashime no Fukkatsu,Aniplex
Nanatsu no Taizai: Imashime no Fukkatsu,Dentsu
Nanatsu no Taizai: Imashime no Fukkatsu,Kodansha
Nanatsu no Taizai: Imashime no Fukkatsu,Movic
Nanatsu no Taizai: Imashime no Fukkatsu,Sammy
ReLIFE,Aniplex
ReLIFE,Half H.P Studio
ReLIFE,comico
ReLIFE,Hakuhodo DY Media Partners
ReLIFE,Lawson
ReLIFE,C &amp; I entertainment
Black Lagoon,Geneon Universal Entertainment
Black Lagoon,Shogakukan
Btooom!,Sotsu
Btooom!,KlockWorx
Btooom!,flying DOG
Btooom!,Showgate
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,TBS
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,Marvelous AQL
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,NBCUniversal Entertainment Japan
Prison School,Genco
Prison School,Kodansha
Prison School,Movic
Prison School,Warner Bros. Japan
Prison School,KlockWorx
Prison School,Showgate
Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation,Geneon Universal Entertainment
Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation,Studio Hibari
Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation,Mainichi Broadcasting System
Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation,Showgate
Hellsing Ultimate,Geneon Universal Entertainment
Hellsing Ultimate,StudioRF Inc.
Hellsing Ultimate,Shounen Gahousha
Tensei shitara Slime Datta Ken,Lantis
Tensei shitara Slime Datta Ken,BS11
Tensei shitara Slime Datta Ken,Bandai Namco Arts
Tensei shitara Slime Datta Ken,Micro Magazine Publishing
Gekkan Shoujo Nozaki-kun,TV Tokyo
Gekkan Shoujo Nozaki-kun,Frontier Works
Gekkan Shoujo Nozaki-kun,Media Factory
Gekkan Shoujo Nozaki-kun,AT-X
Gekkan Shoujo Nozaki-kun,Sony Music Communications
Zero no Tsukaima,Genco
Zero no Tsukaima,Media Factory
Zero no Tsukaima,Shochiku
Zero no Tsukaima,Bushiroad
Zero no Tsukaima,Happinet Pictures
Goblin Slayer,Sony Pictures Entertainment
Goblin Slayer,Frontier Works
Goblin Slayer,AT-X
Goblin Slayer,SoftBank Creative
Goblin Slayer,Bushiroad
Goblin Slayer,Hakuhodo DY Music &amp; Pictures
Goblin Slayer,Good Smile Film
Goblin Slayer,Artist Management Office
Golden Time,Genco
Golden Time,Starchild Records
High School DxD New,Genco
High School DxD New,AT-X
High School DxD New,Fujimi Shobo
Ookami to Koushinryou,Victor Entertainment
Ookami to Koushinryou,Pony Canyon
Ookami to Koushinryou,Movic
Ookami to Koushinryou,Kadokawa Pictures Japan
Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,TOHO animation
Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,Shueisha
Higurashi no Naku Koro ni,Geneon Universal Entertainment
Higurashi no Naku Koro ni,Frontier Works
Higurashi no Naku Koro ni,Sotsu
Higurashi no Naku Koro ni,DAX Production
